County,Total Ballots Cast,Total Femal,Total Male,Total Not Identified
Baldwin,122501,66932,55452,117
Barbour,9901,5646,4236,19
Bullock,4105,2456,1639,10
Butler,8112,4682,3430,0
Clarke,11975,6779,5168,28
Choctaw,6645,3727,2914,4
Conecuh,5552,3086,2462,4
Crenshaw,6493,3618,2873,11
Dallas,15720,9389,6320,11
Escambia,15005,8519,6480,6
Greene,4045,2353,1690,2
Hale,7339,4196,3132,11
Lowndes,5705,3275,2427,3
Macon,7904,4750,3122,32
Marengo,9708,5579,4124,5
Mobile,176426,101207,75021,198
Monroe,9841,5534,4304,3
Montgomery,90098,54562,35466,70
Perry,4496,2632,1862,2
Pike,13262,7534,5720,8
Russell,20840,12013,8812,15
Sumter,5335,3197,2138,0
Washington,8463,4605,3855,3
Wilcox,5268,3028,2240,0
Total (All of Alabama),2269116,1266655,1000520,1953
