County,Registered Voters,Total Ballots Cast,Democrat Ballots,Republican Ballots ,Absentee Ballots,Turnout as a Percentage of Registered Voters,Absentee as Percentage of Total Ballots
Baldwin,207643,122542,14334,69308,7771,59.02,6.34
Barbour,17666,9919,3409,2419,593,56.15,5.98
Bullock,7181,4144,2573,601,406,57.71,9.8
Butler,14530,8530,2661,3087,464,58.71,5.44
Choctaw,10767,6692,2067,2414,452,62.15,6.75
Clarke,19143,11993,4219,4898,724,62.65,6.04
Conecuh,9820,6105,2005,1533,479,62.17,7.85
Crenshaw,10851,6516,1126,3210,314,60.05,4.82
Dallas,29534,15631,8526,2644,1038,52.93,6.64
Escambia,28268,15009,3196,7874,716,53.1,4.77
Greene,6572,4056,2872,542,372,61.72,9.17
Hale,12162,7298,2840,1583,386,60.01,5.29
Lowndes,9668,5708,2974,863,538,59.04,9.43
Macon,16972,7876,5013,1074,535,46.41,6.79
Marengo,15710,9719,3900,2656,678,61.87,6.98
Mobile,322535,176019,52771,73686,8611,54.57,4.89
Monroe,16351,9860,3016,3092,770,60.3,7.81
Montgomery,163649,90268,42657,18816,6818,55.16,7.55
Perry,7631,4477,2763,755,627,58.67,14
Pike,24517,13292,3583,5455,485,54.22,3.65
Russell,46542,20794,8257,6403,1732,44.68,8.33
Sumter,9632,5330,3330,856,506,55.34,9.49
Washington,13788,8489,1415,4204,447,61.57,5.27
Wilcox,8557,5287,2827,1036,693,61.79,13.11
Total (All of Alabama),3861929,2272911,537793,1001337,126055,58.85,5.55
