FIPStxt,State,Area_Name,Attribute,Value
1001,AL,Autauga County,Rural_Urban_Continuum_Code_2013,2.0
1001,AL,Autauga County,Rural_Urban_Continuum_Code_2023,2.0
1001,AL,Autauga County,Urban_Influence_2013,2.0
1001,AL,Autauga County,Economic_typology_2015,0.0
1001,AL,Autauga County,CENSUS_2020_POP,58805.0
1001,AL,Autauga County,ESTIMATES_BASE_2020,58809.0
1001,AL,Autauga County,POP_ESTIMATE_2020,58915.0
1001,AL,Autauga County,POP_ESTIMATE_2021,59203.0
1001,AL,Autauga County,POP_ESTIMATE_2022,59726.0
1001,AL,Autauga County,POP_ESTIMATE_2023,60342.0
1001,AL,Autauga County,N_POP_CHG_2020,106.0
1001,AL,Autauga County,N_POP_CHG_2021,288.0
1001,AL,Autauga County,N_POP_CHG_2022,523.0
1001,AL,Autauga County,N_POP_CHG_2023,616.0
1001,AL,Autauga County,BIRTHS_2020,162.0
1001,AL,Autauga County,BIRTHS_2021,686.0
1001,AL,Autauga County,BIRTHS_2022,706.0
1001,AL,Autauga County,BIRTHS_2023,714.0
1001,AL,Autauga County,DEATHS_2020,176.0
1001,AL,Autauga County,DEATHS_2021,696.0
1001,AL,Autauga County,DEATHS_2022,687.0
1001,AL,Autauga County,DEATHS_2023,621.0
1001,AL,Autauga County,NATURAL_CHG_2020,-14.0
1001,AL,Autauga County,NATURAL_CHG_2021,-10.0
1001,AL,Autauga County,NATURAL_CHG_2022,19.0
1001,AL,Autauga County,NATURAL_CHG_2023,93.0
1001,AL,Autauga County,INTERNATIONAL_MIG_2020,0.0
1001,AL,Autauga County,INTERNATIONAL_MIG_2021,15.0
1001,AL,Autauga County,INTERNATIONAL_MIG_2022,22.0
1001,AL,Autauga County,INTERNATIONAL_MIG_2023,34.0
1001,AL,Autauga County,DOMESTIC_MIG_2020,100.0
1001,AL,Autauga County,DOMESTIC_MIG_2021,242.0
1001,AL,Autauga County,DOMESTIC_MIG_2022,507.0
1001,AL,Autauga County,DOMESTIC_MIG_2023,491.0
1001,AL,Autauga County,NET_MIG_2020,100.0
1001,AL,Autauga County,NET_MIG_2021,257.0
1001,AL,Autauga County,NET_MIG_2022,529.0
1001,AL,Autauga County,NET_MIG_2023,525.0
1001,AL,Autauga County,RESIDUAL_2020,20.0
