FIPS_Code,State,Area_Name,Attribute,Value
1003,AL,Baldwin County,Rural_Urban_Continuum_Code_2013,3
1003,AL,Baldwin County,Urban_Influence_Code_2013,2
1003,AL,Baldwin County,Rural_Urban_Continuum_Code_2023,3
1003,AL,Baldwin County,Urban_Influence_Code_2024,4
1003,AL,Baldwin County,POVALL_2023,24942
1003,AL,Baldwin County,CI90LBALL_2023,20972
1003,AL,Baldwin County,CI90UBALL_2023,28912
1003,AL,Baldwin County,PCTPOVALL_2023,10
1003,AL,Baldwin County,CI90LBALLP_2023,8.4
1003,AL,Baldwin County,CI90UBALLP_2023,11.6
1003,AL,Baldwin County,POV017_2023,7334
1003,AL,Baldwin County,CI90LB017_2023,5752
1003,AL,Baldwin County,CI90UB017_2023,8916
1003,AL,Baldwin County,PCTPOV017_2023,14.1
1003,AL,Baldwin County,CI90LB017P_2023,11.1
1003,AL,Baldwin County,CI90UB017P_2023,17.1
1003,AL,Baldwin County,POV517_2023,5105
1003,AL,Baldwin County,CI90LB517_2023,3889
1003,AL,Baldwin County,CI90UB517_2023,6321
1003,AL,Baldwin County,PCTPOV517_2023,13
1003,AL,Baldwin County,CI90LB517P_2023,9.9
1003,AL,Baldwin County,CI90UB517P_2023,16.1
1003,AL,Baldwin County,MEDHHINC_2023,74248
1003,AL,Baldwin County,CI90LBINC_2023,69046
1003,AL,Baldwin County,CI90UBINC_2023,79450
1025,AL,Clarke County,Rural_Urban_Continuum_Code_2013,7
1025,AL,Clarke County,Urban_Influence_Code_2013,11
1025,AL,Clarke County,Rural_Urban_Continuum_Code_2023,9
1025,AL,Clarke County,Urban_Influence_Code_2024,9
1025,AL,Clarke County,POVALL_2023,4174
1025,AL,Clarke County,CI90LBALL_2023,3131
1025,AL,Clarke County,CI90UBALL_2023,5217
1025,AL,Clarke County,PCTPOVALL_2023,19
1025,AL,Clarke County,CI90LBALLP_2023,14.3
1025,AL,Clarke County,CI90UBALLP_2023,23.7
1025,AL,Clarke County,POV017_2023,1386
1025,AL,Clarke County,CI90LB017_2023,938
1025,AL,Clarke County,CI90UB017_2023,1834
1025,AL,Clarke County,PCTPOV017_2023,28.7
1025,AL,Clarke County,CI90LB017P_2023,19.4
1025,AL,Clarke County,CI90UB017P_2023,38
1025,AL,Clarke County,POV517_2023,1020
1025,AL,Clarke County,CI90LB517_2023,669
1025,AL,Clarke County,CI90UB517_2023,1371
1025,AL,Clarke County,PCTPOV517_2023,29.1
1025,AL,Clarke County,CI90LB517P_2023,19.1
1025,AL,Clarke County,CI90UB517P_2023,39.1
1025,AL,Clarke County,MEDHHINC_2023,50868
1025,AL,Clarke County,CI90LBINC_2023,44973
1025,AL,Clarke County,CI90UBINC_2023,56763
1035,AL,Conecuh County,Rural_Urban_Continuum_Code_2013,7
1035,AL,Conecuh County,Urban_Influence_Code_2013,11
1035,AL,Conecuh County,Rural_Urban_Continuum_Code_2023,9
