county,registered_voters,total_ballots_cast,turnout_rate,absentee_rate,population_2023,poverty_rate,pct_less_hs,pct_bachelors,unemployment_rate,median_income,white_share,non_white_share,gc_cpri_score_raw,gc_cpri_score
BALDWIN,207643,122542,0.5902000000000001,0.0634,253507.0,10.0,8.268600135,32.79763704,2.3,71704.0,0.9221639007028514,0.0778360992971485,-5.022101411440171,0.0
BARBOUR,17666,9919,0.5615,0.0598,24585.0,25.5,22.18629453,11.46471523,4.4,41151.0,0.6038783961216039,0.3961216038783961,1.0478107215038888,77.5268722809361
BULLOCK,7181,4144,0.5771000000000001,0.098,9897.0,33.6,25.95554351,8.999728924,2.4,35798.0,0.2677222898903776,0.7322777101096224,2.440926194207423,95.32019168315591
BUTLER,14530,8530,0.5871,0.0544,18382.0,23.6,12.40504406,13.76481313,2.9,41852.0,0.6187130177514792,0.3812869822485207,-0.6786944312698906,55.475392532982994
CHOCTAW,10767,6692,0.6214999999999999,0.0675,12252.0,24.8,15.78128473,13.91420316,4.0,44458.0,0.6290443942814146,0.3709556057185854,-0.021358878768282477,63.87109387236849
CLARKE,19143,11993,0.6265,0.0604,22337.0,19.0,14.73130402,15.42653138,5.0,44906.0,0.5944050104384133,0.4055949895615866,-0.17216052007773283,61.94500675125513
CONECUH,9820,6105,0.6217,0.0785,11174.0,26.5,12.51384275,13.12907592,3.5,36106.0,0.5947406340057637,0.4052593659942363,0.2251332578183518,67.0193708116161
CRENSHAW,10851,6516,0.6004999999999999,0.0482,13101.0,19.5,17.42091388,16.80579965,,,0.7914677344832897,0.2085322655167103,-0.9922300309943183,51.47081489446407
DALLAS,29534,15631,0.5293,0.0664,36165.0,31.4,12.94154546,17.00709609,5.4,35258.0,0.3302162849872773,0.6697837150127226,2.1068636686892184,91.05343753870419
ESCAMBIA,28268,15009,0.531,0.0476999999999999,36558.0,21.3,17.46735166,12.49068591,3.1,47792.0,0.7488837054315228,0.2511162945684771,-1.0077484218325696,51.2726090097375
GREENE,6572,4056,0.6172,0.0917,7341.0,31.0,17.9939325,12.47629882,4.8,35449.0,0.2064276885043263,0.7935723114956736,2.5865418663420705,97.1800419360804
HALE,12162,7298,0.6001,0.0529,14888.0,23.0,18.10794543,16.77367576,3.3,44702.0,0.4721351682790571,0.5278648317209429,0.12360613076373173,65.72263365301801
LOWNDES,9668,5708,0.5904,0.0943,9717.0,29.4,16.77382483,13.87341049,4.6,42268.0,0.3069237510955302,0.6930762489044697,1.599858769909543,84.5778077153057
MACON,16972,7876,0.4640999999999999,0.0679,18370.0,28.8,15.79624389,20.73578595,3.2,36601.0,0.2141953441295546,0.7858046558704453,1.4825327978824017,83.07928262147158
MARENGO,15710,9719,0.6187,0.0698,18684.0,23.5,14.38292607,20.41447572,3.3,45587.0,0.5302843016069221,0.4697156983930778,-0.3691607090252757,59.42885690372039
MOBILE,322535,176019,0.5457,0.0489,411640.0,16.3,10.99169307,25.15022409,3.1,54315.0,0.6515196172899685,0.3484803827100314,-2.2038478575569007,35.995641871215895
MONROE,16351,9860,0.603,0.0781,19229.0,19.1,16.38531023,11.357915,4.3,47498.0,0.6233106391626867,0.3766893608373133,-0.5123157118972902,57.60043511095668
MONTGOMERY,163649,90268,0.5516,0.0755,224980.0,18.3,11.15619065,34.27402754,2.8,56862.0,0.3919731847543786,0.6080268152456214,-1.6733916156597128,42.77079980027181
PERRY,7631,4477,0.5867,0.14,7738.0,33.8,17.82767223,16.84897333,5.0,33585.0,0.2893683274021352,0.7106316725978647,2.8073285066769484,100.0
PIKE,24517,13292,0.5422,0.0365,33137.0,23.8,12.41732121,27.3150062,2.7,45144.0,0.6635499924596592,0.3364500075403408,-1.0476533956214857,50.76292983505613
RUSSELL,46542,20794,0.4468,0.0833,58744.0,18.9,14.21074989,16.8519953,2.8,45074.0,0.5215451055662188,0.4784548944337812,-0.922673346014513,52.359215272362
SUMTER,9632,5330,0.5534,0.0949,11727.0,33.5,12.04886954,19.02822637,3.7,35152.0,0.2899718837863168,0.7100281162136832,1.6452114378922071,85.15706659439367
WASHINGTON,13788,8489,0.6157,0.0527,15022.0,18.7,11.31495623,16.20413485,2.6,53785.0,0.7567056599314664,0.2432943400685336,-2.3800742359808993,33.74482182087973
WILCOX,8557,5287,0.6179,0.1311,9944.0,32.7,22.13244842,12.33588227,,,0.3365603644646925,0.6634396355353075,1.6575692953402534,85.31490512896502
TOTAL (ALL OF ALABAMA),3861929,2272911,0.5885,0.0555,,,,,,,0.7449416424722226,0.2550583575277773,-0.7199720808869977,54.948181100620694
