county,registered_voters,total_ballots_cast,turnout_as_a_percentage_of_registered_voters,absentee_as_percentage_of_total_ballots,turnout_rate,absentee_rate,population_2023,poverty_rate,pct_less_hs,pct_bachelors,age_18_29_share
BALDWIN,207643,122542,59.02,6.34,0.5902000000000001,0.0634,253507.0,10.0,8.268600135,32.79763704,0.09632574427963854
BARBOUR,17666,9919,56.15,5.98,0.5615,0.059800000000000006,24585.0,25.5,22.18629453,11.46471523,0.09632574427963854
BULLOCK,7181,4144,57.71,9.8,0.5771000000000001,0.098,9897.0,33.6,25.95554351,8.999728924,0.10645554202192448
BUTLER,14530,8530,58.71,5.44,0.5871,0.054400000000000004,18382.0,23.6,12.40504406,13.76481313,0.09874260355029586
CHOCTAW,10767,6692,62.15,6.75,0.6214999999999999,0.0675,12252.0,24.8,15.78128473,13.91420316,0.11301730624529721
CLARKE,19143,11993,62.65,6.04,0.6265,0.0604,22337.0,19.0,14.73130402,15.42653138,0.11382045929018789
CONECUH,9820,6105,62.17,7.85,0.6217,0.0785,11174.0,26.5,12.51384275,13.12907592,0.09798270893371758
CRENSHAW,10851,6516,60.05,4.82,0.6004999999999999,0.0482,13101.0,19.5,17.42091388,16.80579965,0.11212074541814261
DALLAS,29534,15631,52.93,6.64,0.5293,0.0664,36165.0,31.4,12.94154546,17.00709609,0.09968193384223918
ESCAMBIA,28268,15009,53.1,4.77,0.531,0.04769999999999999,36558.0,21.3,17.46735166,12.49068591,0.11176274575141619
GREENE,6572,4056,61.72,9.17,0.6172,0.0917,7341.0,31.0,17.9939325,12.47629882,0.0934487021013597
HALE,12162,7298,60.01,5.29,0.6001,0.0529,14888.0,23.0,18.10794543,16.77367576,0.1072353181632375
LOWNDES,9668,5708,59.04,9.43,0.5904,0.0943,9717.0,29.4,16.77382483,13.87341049,0.09377738825591586
MACON,16972,7876,46.41,6.79,0.46409999999999996,0.0679,18370.0,28.8,15.79624389,20.73578595,0.11677631578947369
MARENGO,15710,9719,61.87,6.98,0.6187,0.0698,18684.0,23.5,14.38292607,20.41447572,0.10341985990935311
MOBILE,322535,176019,54.57,4.89,0.5457,0.0489,411640.0,16.3,10.99169307,25.15022409,0.12312244227041366
MONROE,16351,9860,60.3,7.81,0.603,0.0781,19229.0,19.1,16.38531023,11.357915,0.11584188598719643
MONTGOMERY,163649,90268,55.16,7.55,0.5516,0.0755,224980.0,18.3,11.15619065,34.27402754,0.12090168483207174
PERRY,7631,4477,58.67,14.0,0.5867,0.14,7738.0,33.8,17.82767223,16.84897333,0.10676156583629894
PIKE,24517,13292,54.22,3.65,0.5422,0.0365,33137.0,23.8,12.41732121,27.3150062,0.15050520283516816
RUSSELL,46542,20794,44.68,8.33,0.4468,0.0833,58744.0,18.9,14.21074989,16.8519953,0.10743761996161229
SUMTER,9632,5330,55.34,9.49,0.5534,0.0949,11727.0,33.5,12.04886954,19.02822637,0.0858481724461106
WASHINGTON,13788,8489,61.57,5.27,0.6157,0.0527,15022.0,18.7,11.31495623,16.20413485,0.12371499468273661
WILCOX,8557,5287,61.79,13.11,0.6179,0.1311,9944.0,32.7,22.13244842,12.33588227,0.1133257403189066
TOTAL (ALL OF ALABAMA),3861929,2272911,58.85,5.55,0.5885,0.0555,,,,,0.12627119988577049
